timestamp,message,logStreamName
1750362256141,"INIT_START Runtime Version: provided:al2.v116	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:79c6cb68b9795cc440a0a014211e54bcf20eabe43ab99b883277bed4b07cb712
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256273,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:16.271Z"",""caller"":""dynamodb/client.go:87"",""msg"":""DynamoDB client initialized with cost tracking"",""region"":""us-east-1""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256348,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:16.347Z"",""caller"":""auth/main.go:87"",""msg"":""default OAuth client exists"",""client_id"":""lesser-web"",""redirect_uris"":[""https://lesser.host/auth/callback""]}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256350,"START RequestId: 896b8d52-78ae-475e-a553-c95090929d16 Version: $LATEST
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256354,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:16.354Z"",""caller"":""auth/main.go:168"",""msg"":""OAuth request"",""raw_path"":""/lab/oauth/authorize"",""path"":""/oauth/authorize"",""method"":""GET"",""stage"":""lab"",""path_parameters"":null,""request_context_path"":""/lab/oauth/authorize""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256354,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:16.354Z"",""caller"":""auth/main.go:209"",""msg"":""raw authorize request details"",""query_params"":{""client_id"":""nhsSFirepTiGvvk2qzdasA=="",""code_challenge"":""WvXMwcYvVzad_ZX3RwWXldv2YHRTwPb1VHRlvEuJPQ0"",""code_challenge_method"":""S256"",""redirect_uri"":""https://dev.greater.website/auth/callback"",""response_type"":""code"",""scope"":""read write follow push"",""state"":""0d44b2d02c9c86a2a06cbe45f23d89709701bdc336b289f47808c4da29e5584e""},""raw_query_string"":""client_id=nhsSFirepTiGvvk2qzdasA%3D%3D&response_type=code&redirect_uri=https%3A%2F%2Fdev.greater.website%2Fauth%2Fcallback&scope=read+write+follow+push&code_challenge=WvXMwcYvVzad_ZX3RwWXldv2YHRTwPb1VHRlvEuJPQ0&code_challenge_method=S256&state=0d44b2d02c9c86a2a06cbe45f23d89709701bdc336b289f47808c4da29e5584e"",""raw_path"":""/lab/oauth/authorize""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256354,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:16.354Z"",""caller"":""auth/main.go:229"",""msg"":""parsed OAuth authorize request"",""response_type"":""code"",""client_id"":""nhsSFirepTiGvvk2qzdasA=="",""redirect_uri"":""https://dev.greater.website/auth/callback"",""state"":""0d44b2d02c9c86a2a06cbe45f23d89709701bdc336b289f47808c4da29e5584e"",""code_challenge"":""WvXMwcYvVzad_ZX3RwWXldv2YHRTwPb1VHRlvEuJPQ0"",""scope"":""read write follow push"",""all_params"":{""client_id"":""nhsSFirepTiGvvk2qzdasA=="",""code_challenge"":""WvXMwcYvVzad_ZX3RwWXldv2YHRTwPb1VHRlvEuJPQ0"",""code_challenge_method"":""S256"",""redirect_uri"":""https://dev.greater.website/auth/callback"",""response_type"":""code"",""scope"":""read write follow push"",""state"":""0d44b2d02c9c86a2a06cbe45f23d89709701bdc336b289f47808c4da29e5584e""}}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256354,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:16.354Z"",""caller"":""auth/main.go:368"",""msg"":""validating client and redirect URI"",""client_id"":""nhsSFirepTiGvvk2qzdasA=="",""redirect_uri"":""https://dev.greater.website/auth/callback""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256358,"ValidateRedirectURI - Client nhsSFirepTiGvvk2qzdasA== registered URIs: [https://dev.greater.website/auth/callback]
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256358,"ValidateRedirectURI - Requested URI: https://dev.greater.website/auth/callback
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256358,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:16.358Z"",""caller"":""auth/main.go:384"",""msg"":""PKCE enabled"",""code_challenge_method"":""S256""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256358,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:16.358Z"",""caller"":""auth/main.go:398"",""msg"":""rendering login page"",""client_id"":""nhsSFirepTiGvvk2qzdasA=="",""redirect_uri"":""https://dev.greater.website/auth/callback""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256362,"END RequestId: 896b8d52-78ae-475e-a553-c95090929d16
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362256362,"REPORT RequestId: 896b8d52-78ae-475e-a553-c95090929d16	Duration: 11.72 ms	Billed Duration: 220 ms	Memory Size: 3008 MB	Max Memory Used: 44 MB	Init Duration: 207.73 ms	
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362259328,"START RequestId: 2af89b0e-40b1-4093-9309-bd9d4770c7d9 Version: $LATEST
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
