route	secure_posture	secure_scopes	pre_classification	legacy_route_auth
DELETE /api/v1/admin/custom_emojis/{shortcode}	authenticated		auth_required	requireAuth
DELETE /api/v1/admin/domain_allows/{id}	authenticated		auth_required	requireAuth
DELETE /api/v1/admin/domain_blocks/{id}	authenticated		auth_required	requireAuth
DELETE /api/v1/admin/email_domain_blocks/{id}	authenticated		auth_required	requireAuth
DELETE /api/v1/admin/statuses/{id}	authenticated		auth_required	requireAuth
DELETE /api/v1/agents/{username}	authenticated		auth_required	requireManageAgents
DELETE /api/v1/agents/{username}/share/{grantee}	authenticated		auth_required	requireManageAgents
DELETE /api/v1/announcements/{id}/reactions/{name}	authenticated		auth_required	requireAuth
DELETE /api/v1/auth/webauthn/credentials/{credentialId}	authenticated		auth_required	requireAuth
DELETE /api/v1/conversations/{id}	authenticated	write	auth_required	requireWrite
DELETE /api/v1/domain_blocks	authenticated		auth_required	requireBlockWrite
DELETE /api/v1/imports/{id}	authenticated	write	auth_required	requireWrite
DELETE /api/v1/lists/{id}	authenticated	write	auth_required	requireWrite
DELETE /api/v1/lists/{id}/accounts	authenticated	write	auth_required	requireWrite
DELETE /api/v1/push/subscription	authenticated		auth_required	requirePushWrite
DELETE /api/v1/scheduled_statuses/{id}	authenticated	write	auth_required	requireWrite
DELETE /api/v1/statuses/{id}	authenticated	write	auth_required	requireWrite
DELETE /api/v1/statuses/{id}/quote/{quote_id}	authenticated		auth_required	requireStatusWrite
DELETE /api/v1/suggestions/{account_id}	authenticated		auth_required	requireAuth
DELETE /api/v1/vouches/{vouch_id}	authenticated		auth_required	requireAuth
DELETE /api/v2/filters/{filter_id}/keywords/{keyword_id}	authenticated		auth_required	requireFilterWrite
DELETE /api/v2/filters/{filter_id}/statuses/{status_id}	authenticated		auth_required	requireFilterWrite
DELETE /api/v2/filters/{id}	authenticated		auth_required	requireFilterWrite
DELETE /auth/wallet/unlink/{address}	authenticated		auth_required	requireAuth
GET /	public		anonymous	none
GET /.well-known/lesser-soul-agent	public		anonymous	none
GET /.well-known/nodeinfo	public		anonymous	none
GET /.well-known/oauth-authorization-server	public		anonymous	none
GET /.well-known/reputation-keys	public		anonymous	none
GET /api/oembed	public		anonymous	none
GET /api/v1/accounts/lookup	public		anonymous	none
GET /api/v1/accounts/relationships	authenticated		auth_required	requireFollowRead
GET /api/v1/accounts/search	optional		anonymous	optionalAuth
GET /api/v1/accounts/search/suggestions	public		anonymous	none
GET /api/v1/accounts/verify_credentials	authenticated	read	auth_required	requireRead
GET /api/v1/accounts/{id}	public		anonymous	none
GET /api/v1/accounts/{id}/followers	authenticated	read	auth_required	requireRead
GET /api/v1/accounts/{id}/following	authenticated	read	auth_required	requireRead
GET /api/v1/accounts/{id}/notes	public		anonymous	none
GET /api/v1/accounts/{id}/quote_permissions	authenticated		auth_required	none
GET /api/v1/accounts/{id}/statuses	optional		anonymous	optionalAuth
GET /api/v1/admin/accounts	authenticated		auth_required	requireAuth
GET /api/v1/admin/accounts/{id}	authenticated		auth_required	requireAuth
GET /api/v1/admin/agents/policy	authenticated	admin	auth_required	requireAdmin
GET /api/v1/admin/domain_allows	authenticated		auth_required	requireAuth
GET /api/v1/admin/domain_blocks	authenticated		auth_required	requireAuth
GET /api/v1/admin/domain_blocks/{id}	authenticated		auth_required	requireAuth
GET /api/v1/admin/email_domain_blocks	authenticated		auth_required	requireAuth
GET /api/v1/admin/federation/instance/{domain}	authenticated		auth_required	requireAuth
GET /api/v1/admin/federation/instances	authenticated		auth_required	requireAuth
GET /api/v1/admin/federation/statistics	authenticated		auth_required	requireAuth
GET /api/v1/admin/moderation/events	authenticated		auth_required	requireAuth
GET /api/v1/admin/moderation/overview	authenticated		auth_required	requireAuth
GET /api/v1/admin/moderation/reviewers	authenticated		auth_required	requireAuth
GET /api/v1/admin/moderation/trust/graph	authenticated		auth_required	requireAuth
GET /api/v1/admin/reports	authenticated		auth_required	requireAuth
GET /api/v1/admin/reports/{id}	authenticated		auth_required	requireAuth
GET /api/v1/admin/skills/proposals	authenticated		auth_required	requireAdminRead
GET /api/v1/admin/skills/proposals/{proposalId}	authenticated		auth_required	requireAdminRead
GET /api/v1/admin/skills/{skillId}/assignments	authenticated		auth_required	requireAdminRead
GET /api/v1/admin/statuses	authenticated		auth_required	requireAuth
GET /api/v1/admin/statuses/{id}	authenticated		auth_required	requireAuth
GET /api/v1/agents	public		anonymous	none
GET /api/v1/agents/memory/search	authenticated	read	auth_required	requireRead
GET /api/v1/agents/shared-with-me	authenticated	read	anonymous	requireRead
GET /api/v1/agents/{username}	public		anonymous	none
GET /api/v1/agents/{username}/access	authenticated		auth_required	none
GET /api/v1/agents/{username}/access-leases	authenticated		auth_required	requireManageAgents
GET /api/v1/agents/{username}/activity	authenticated	read	auth_required	requireRead
GET /api/v1/agents/{username}/runtime-sessions	authenticated		auth_required	requireManageAgents
GET /api/v1/agents/{username}/share	authenticated		auth_required	requireManageAgents
