profile: coverage.out
prefix:  github.com/equaltoai/lesser/cmd/api/
total:   7.0% (835/12011 statements)

  %cov   covered/total  file
   0.0       0/519     cmd/api/lift/statuses.go
   0.0       0/478     cmd/api/lift/misc.go
   0.0       0/377     cmd/api/lift/filters.go
   2.5       9/366     cmd/api/lift/admin_federation.go
   0.0       0/343     cmd/api/lift/accounts.go
   0.0       0/342     cmd/api/main.go
   0.0       0/330     cmd/api/lift/moderation.go
   0.6       2/309     cmd/api/lift/helpers.go
   0.0       0/267     cmd/api/lift/websocket_cost_analytics.go
   0.0       0/262     cmd/api/lift/imports.go
   0.0       0/262     cmd/api/lift/exports.go
   0.0       0/256     cmd/api/routes_lift.go
   0.0       0/252     cmd/api/lift/setup.go
   0.0       0/251     cmd/api/lift/oembed.go
   0.0       0/250     cmd/api/lift/accounts_full.go
   0.0       0/241     cmd/api/lift/tags.go
   0.0       0/237     cmd/api/lift/oauth.go
   0.0       0/212     cmd/api/lift/scheduled_statuses.go
   0.0       0/211     cmd/api/lift/status_pins.go
   0.0       0/198     cmd/api/lift/health.go
   0.0       0/194     cmd/api/lift/reputation.go
  13.5      30/223     cmd/api/lift/test_mocks.go
   0.0       0/193     cmd/api/lift/search.go
   0.0       0/192     cmd/api/lift/announcements.go
   0.0       0/190     cmd/api/lift/metrics.go
   0.0       0/183     cmd/api/lift/polls.go
   0.0       0/182     cmd/api/lift/statuses_unified_boost.go
   0.0       0/172     cmd/api/lift/recovery_emailfree.go
   0.0       0/166     cmd/api/lift/notes.go
   0.0       0/161     cmd/api/lift/webauthn.go
   0.0       0/160     cmd/api/lift/wallet.go
   0.0       0/155     cmd/api/lift/discovery.go
   0.0       0/146     cmd/api/lift/apps.go
   0.0       0/145     cmd/api/lift/debug.go
   0.0       0/143     cmd/api/lift/quotes.go
   0.0       0/140     cmd/api/lift/instance.go
   0.0       0/132     cmd/api/lift/lists.go
   0.0       0/132     cmd/api/lift/push_subscriptions.go
   0.0       0/122     cmd/api/lift/timelines.go
   0.0       0/122     cmd/api/middleware.go
   0.0       0/118     cmd/api/lift/status_info.go
   0.0       0/116     cmd/api/lift/translation.go
   0.0       0/114     cmd/api/lift/custom_emojis.go
   0.0       0/105     cmd/api/lift/statuses_full.go
   0.0       0/104     cmd/api/lift/markers.go
   0.0       0/104     cmd/api/lift/follow_requests.go
   0.0       0/100     cmd/api/lift/trends.go
   0.0       0/93      cmd/api/lift/interactions.go
   0.0       0/89      cmd/api/lift/reports.go
   0.0       0/87      cmd/api/lift/media.go
  90.0     769/854     cmd/api/lift/admin.go
   0.0       0/84      cmd/api/lift/preferences.go
   0.0       0/79      cmd/api/lift/ai.go
   0.0       0/79      cmd/api/lift/conversations.go
   0.0       0/77      cmd/api/lift/relationships_full.go
   0.0       0/76      cmd/api/lift/oauth_consent.go
   0.0       0/66      cmd/api/lift/domain_blocks.go
   0.0       0/61      cmd/api/lift/mutes.go
   0.0       0/60      cmd/api/lift/bookmarks.go
  10.8       7/65      cmd/api/lift/handler.go
   0.0       0/44      cmd/api/lift/status_interactions.go
   0.0       0/42      cmd/api/lift/errors.go
   0.0       0/41      cmd/api/lift/webfinger.go
   0.0       0/26      cmd/api/lift/favorites.go
   0.0       0/25      cmd/api/lift_handlers.go
   0.0       0/24      cmd/api/lift/relationships.go
   0.0       0/15      cmd/api/lift/admin_users.go
   0.0       0/14      cmd/api/lift/endorsements.go
   0.0       0/14      cmd/api/lift/nodeinfo.go
  93.3      14/15      cmd/api/lift/vapid_check.go
 100.0       4/4       cmd/api/models/mastodon.go
