profile: cover_cmd_api.out
prefix:  github.com/equaltoai/lesser/cmd/api/
total:   52.1% (6277/12047 statements)

  %cov   covered/total  file
   2.5       9/366     cmd/api/lift/admin_federation.go
  40.3     214/531     cmd/api/lift/statuses.go
  24.6      84/342     cmd/api/main.go
   0.0       0/252     cmd/api/lift/setup.go
  28.9      99/343     cmd/api/lift/accounts.go
   0.0       0/237     cmd/api/lift/oauth.go
  25.2      66/262     cmd/api/lift/imports.go
   0.0       0/194     cmd/api/lift/reputation.go
  60.0     287/478     cmd/api/lift/misc.go
   0.0       0/183     cmd/api/lift/polls.go
  56.0     211/377     cmd/api/lift/filters.go
   0.0       0/166     cmd/api/lift/notes.go
   0.0       0/145     cmd/api/lift/debug.go
  41.1      99/241     cmd/api/lift/tags.go
  44.6     112/251     cmd/api/lift/oembed.go
  58.5     193/330     cmd/api/lift/moderation.go
  57.8     155/268     cmd/api/lift/websocket_cost_analytics.go
  58.4     153/262     cmd/api/lift/exports.go
  24.2      32/132     cmd/api/lift/push_subscriptions.go
  62.4     156/250     cmd/api/lift/accounts_full.go
  71.2     220/309     cmd/api/lift/helpers.go
  58.6     126/215     cmd/api/lift/scheduled_statuses.go
   0.0       0/87      cmd/api/lift/media.go
  90.0     769/854     cmd/api/lift/admin.go
  57.0      98/172     cmd/api/lift/recovery_emailfree.go
  19.1      17/89      cmd/api/lift/reports.go
  52.1      76/146     cmd/api/lift/apps.go
   0.0       0/69      cmd/api/lift/service_registry.go
  59.0      95/161     cmd/api/lift/webauthn.go
  68.2     135/198     cmd/api/lift/search.go
  66.8     127/190     cmd/api/lift/metrics.go
  39.4      41/104     cmd/api/lift/markers.go
  65.9     120/182     cmd/api/lift/statuses_unified_boost.go
  62.5     100/160     cmd/api/lift/wallet.go
  58.7      84/143     cmd/api/lift/quotes.go
  62.6      97/155     cmd/api/lift/discovery.go
  76.7     171/223     cmd/api/lift/test_mocks.go
  54.4      62/114     cmd/api/lift/custom_emojis.go
  61.4      81/132     cmd/api/lift/lists.go
  74.9     149/199     cmd/api/lift/health.go
  69.4     109/157     cmd/api/lift/status_pins.go
  59.0      62/105     cmd/api/lift/statuses_full.go
  65.3      77/118     cmd/api/lift/status_info.go
  48.1      38/79      cmd/api/lift/ai.go
  61.5      64/104     cmd/api/lift/follow_requests.go
  79.7     153/192     cmd/api/lift/announcements.go
  73.6     103/140     cmd/api/lift/instance.go
  69.7      85/122     cmd/api/middleware.go
  42.6      26/61      cmd/api/lift/handler.go
  71.8      84/117     cmd/api/lift/translation.go
  74.6      91/122     cmd/api/lift/timelines.go
  67.9      57/84      cmd/api/lift/preferences.go
  72.0      67/93      cmd/api/lift/interactions.go
  60.6      40/66      cmd/api/lift/domain_blocks.go
  75.0      75/100     cmd/api/lift/trends.go
  71.4      55/77      cmd/api/lift/relationships_full.go
  73.4      58/79      cmd/api/lift/conversations.go
  74.0      57/77      cmd/api/lift/oauth_consent.go
  66.7      40/60      cmd/api/lift/bookmarks.go
  68.9      42/61      cmd/api/lift/mutes.go
  68.3      28/41      cmd/api/lift/webfinger.go
  79.5      35/44      cmd/api/lift/status_interactions.go
  69.2      18/26      cmd/api/lift/favorites.go
  66.7      16/24      cmd/api/lift/relationships.go
  83.3      35/42      cmd/api/lift/errors.go
  60.0       9/15      cmd/api/lift/admin_users.go
  84.0      21/25      cmd/api/lift_handlers.go
  71.4      10/14      cmd/api/lift/endorsements.go
  98.8     253/256     cmd/api/routes_lift.go
  93.3      14/15      cmd/api/lift/vapid_check.go
  92.9      13/14      cmd/api/lift/nodeinfo.go
   0.0       0/1       cmd/api/lift/remote_search_deps.go
 100.0       4/4       cmd/api/models/mastodon.go

