timestamp,message,logStreamName
1749349754099,"INIT_START Runtime Version: provided:al2.v116	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:79c6cb68b9795cc440a0a014211e54bcf20eabe43ab99b883277bed4b07cb712
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754236,"{""level"":""info"",""timestamp"":""2025-06-08T02:29:14.231Z"",""caller"":""dynamodb/client.go:86"",""msg"":""DynamoDB client initialized with cost tracking"",""region"":""us-east-1""}
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754254,"START RequestId: c06dd000-0dd0-4469-9456-ea919c040c31 Version: $LATEST
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754255,"{""level"":""info"",""timestamp"":""2025-06-08T02:29:14.255Z"",""caller"":""api/main.go:151"",""msg"":""API request"",""raw_path"":""/lab/instance"",""http_path"":""/lab/instance"",""path"":""/instance"",""method"":""GET"",""stage"":""lab"",""headers"":{""accept"":""*/*"",""accept-encoding"":""gzip, deflate"",""content-length"":""0"",""host"":""lesser.host"",""user-agent"":""python-requests/2.32.3"",""x-amzn-trace-id"":""Root=1-6844f579-09006fba5af015466a2658d9"",""x-forwarded-for"":""74.129.178.19"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https""}}
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754257,"{""level"":""info"",""timestamp"":""2025-06-08T02:29:14.257Z"",""caller"":""handlers/misc.go:440"",""msg"":""HandleGetInstanceV2 called"",""cfg.Domain"":""lesser.host"",""cfg.BaseURL"":""https://lesser.host"",""instanceConfig.Title"":""Lesser Instance"",""instanceConfig.Version"":""4.0.0 (compatible; Lesser 0.1.0)""}
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754324,"{""level"":""info"",""timestamp"":""2025-06-08T02:29:14.324Z"",""caller"":""handlers/misc.go:554"",""msg"":""HandleGetInstanceV2 response"",""domain"":""lesser.host"",""title"":""Lesser Instance"",""version"":""4.0.0 (compatible; Lesser 0.1.0)"",""full_response_keys"":[""icon"",""languages"",""registrations"",""contact"",""version"",""description"",""thumbnail"",""rules"",""usage"",""domain"",""title"",""source_url"",""configuration"",""api_versions""]}
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754353,"{""level"":""info"",""timestamp"":""2025-06-08T02:29:14.352Z"",""caller"":""cost/middleware.go:172"",""msg"":""request cost tracked"",""request_id"":""L0tLGg2EIAMEcKg="",""operation"":""GET /lab/instance"",""total_microcents"":337,""total_cents"":0.000337,""dynamodb_reads"":2,""dynamodb_writes"":0,""lambda_duration_ms"":69,""data_transfer_bytes"":1847}
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754355,"END RequestId: c06dd000-0dd0-4469-9456-ea919c040c31
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754355,"REPORT RequestId: c06dd000-0dd0-4469-9456-ea919c040c31	Duration: 100.73 ms	Billed Duration: 254 ms	Memory Size: 3008 MB	Max Memory Used: 47 MB	Init Duration: 152.56 ms	
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754534,"START RequestId: 68d88721-460e-4fbd-9728-e237a3fc6b2a Version: $LATEST
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754535,"{""level"":""info"",""timestamp"":""2025-06-08T02:29:14.534Z"",""caller"":""api/main.go:151"",""msg"":""API request"",""raw_path"":""/lab/instance/activity"",""http_path"":""/lab/instance/activity"",""path"":""/instance/activity"",""method"":""GET"",""stage"":""lab"",""headers"":{""accept"":""*/*"",""accept-encoding"":""gzip, deflate"",""content-length"":""0"",""host"":""lesser.host"",""user-agent"":""python-requests/2.32.3"",""x-amzn-trace-id"":""Root=1-6844f57a-34872d1e02fe1c82397a242b"",""x-forwarded-for"":""74.129.178.19"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https""}}
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754579,"{""level"":""info"",""timestamp"":""2025-06-08T02:29:14.579Z"",""caller"":""cost/middleware.go:172"",""msg"":""request cost tracked"",""request_id"":""L0tLMgu7IAMEc2Q="",""operation"":""GET /lab/instance/activity"",""total_microcents"":190,""total_cents"":0.00019,""dynamodb_reads"":12,""dynamodb_writes"":0,""lambda_duration_ms"":39,""data_transfer_bytes"":1071}
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754580,"END RequestId: 68d88721-460e-4fbd-9728-e237a3fc6b2a
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754580,"REPORT RequestId: 68d88721-460e-4fbd-9728-e237a3fc6b2a	Duration: 45.66 ms	Billed Duration: 46 ms	Memory Size: 3008 MB	Max Memory Used: 47 MB	
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754653,"START RequestId: 871d245b-e92d-430c-a14d-96f7fc01a9ea Version: $LATEST
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754654,"{""level"":""info"",""timestamp"":""2025-06-08T02:29:14.654Z"",""caller"":""api/main.go:151"",""msg"":""API request"",""raw_path"":""/lab/instance/peers"",""http_path"":""/lab/instance/peers"",""path"":""/instance/peers"",""method"":""GET"",""stage"":""lab"",""headers"":{""accept"":""*/*"",""accept-encoding"":""gzip, deflate"",""content-length"":""0"",""host"":""lesser.host"",""user-agent"":""python-requests/2.32.3"",""x-amzn-trace-id"":""Root=1-6844f57a-4142e2ae0acfc0316f5a1a2c"",""x-forwarded-for"":""74.129.178.19"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https""}}
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754690,"{""level"":""info"",""timestamp"":""2025-06-08T02:29:14.690Z"",""caller"":""cost/middleware.go:172"",""msg"":""request cost tracked"",""request_id"":""L0tLOgWZoAMEcBQ="",""operation"":""GET /lab/instance/peers"",""total_microcents"":151,""total_cents"":0.000151,""dynamodb_reads"":2,""dynamodb_writes"":1,""lambda_duration_ms"":31,""data_transfer_bytes"":229}
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754691,"END RequestId: 871d245b-e92d-430c-a14d-96f7fc01a9ea
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754691,"REPORT RequestId: 871d245b-e92d-430c-a14d-96f7fc01a9ea	Duration: 37.73 ms	Billed Duration: 38 ms	Memory Size: 3008 MB	Max Memory Used: 47 MB	
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
1749349754755,"START RequestId: 1f6a213a-2402-4650-b497-6de5a7098dd9 Version: $LATEST
",2025/06/08/[$LATEST]9e7c9d12d24d4048ae12c7f761ab9f83
