timestamp,message,logStreamName
1749348172448,"INIT_START Runtime Version: provided:al2.v116	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:79c6cb68b9795cc440a0a014211e54bcf20eabe43ab99b883277bed4b07cb712
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172600,"{""level"":""info"",""timestamp"":""2025-06-08T02:02:52.596Z"",""caller"":""dynamodb/client.go:85"",""msg"":""DynamoDB client initialized with cost tracking"",""region"":""us-east-1""}
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172610,"START RequestId: ad3a42c5-ba67-4ea3-a21e-aa3093b6db8d Version: $LATEST
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172612,"{""level"":""info"",""timestamp"":""2025-06-08T02:02:52.612Z"",""caller"":""api/main.go:151"",""msg"":""API request"",""raw_path"":""/lab/instance"",""http_path"":""/lab/instance"",""path"":""/instance"",""method"":""GET"",""stage"":""lab"",""headers"":{""accept"":""*/*"",""accept-encoding"":""gzip, deflate"",""content-length"":""0"",""host"":""lesser.host"",""user-agent"":""python-requests/2.32.3"",""x-amzn-trace-id"":""Root=1-6844ef4c-2f16ca561e744bb15c752dd8"",""x-forwarded-for"":""74.129.178.19"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https""}}
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172614,"{""level"":""info"",""timestamp"":""2025-06-08T02:02:52.614Z"",""caller"":""handlers/misc.go:440"",""msg"":""HandleGetInstanceV2 called"",""cfg.Domain"":""lesser.host"",""cfg.BaseURL"":""https://lesser.host"",""instanceConfig.Title"":""Lesser Instance"",""instanceConfig.Version"":""4.0.0 (compatible; Lesser 0.1.0)""}
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172687,"{""level"":""info"",""timestamp"":""2025-06-08T02:02:52.687Z"",""caller"":""handlers/misc.go:554"",""msg"":""HandleGetInstanceV2 response"",""domain"":""lesser.host"",""title"":""Lesser Instance"",""version"":""4.0.0 (compatible; Lesser 0.1.0)"",""full_response_keys"":[""domain"",""thumbnail"",""usage"",""api_versions"",""version"",""source_url"",""registrations"",""title"",""languages"",""configuration"",""contact"",""rules"",""description"",""icon""]}
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172711,"{""level"":""info"",""timestamp"":""2025-06-08T02:02:52.709Z"",""caller"":""cost/middleware.go:172"",""msg"":""request cost tracked"",""request_id"":""L0pT8gjSoAMEcMA="",""operation"":""GET /lab/instance"",""total_microcents"":372,""total_cents"":0.000372,""dynamodb_reads"":2,""dynamodb_writes"":0,""lambda_duration_ms"":76,""data_transfer_bytes"":1847}
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172712,"END RequestId: ad3a42c5-ba67-4ea3-a21e-aa3093b6db8d
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172712,"REPORT RequestId: ad3a42c5-ba67-4ea3-a21e-aa3093b6db8d	Duration: 102.61 ms	Billed Duration: 264 ms	Memory Size: 3008 MB	Max Memory Used: 47 MB	Init Duration: 160.41 ms	
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172836,"START RequestId: 085f9adf-da50-4ce2-92af-00d71e4f8f1e Version: $LATEST
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172836,"{""level"":""info"",""timestamp"":""2025-06-08T02:02:52.836Z"",""caller"":""api/main.go:151"",""msg"":""API request"",""raw_path"":""/lab/instance/activity"",""http_path"":""/lab/instance/activity"",""path"":""/instance/activity"",""method"":""GET"",""stage"":""lab"",""headers"":{""accept"":""*/*"",""accept-encoding"":""gzip, deflate"",""content-length"":""0"",""host"":""lesser.host"",""user-agent"":""python-requests/2.32.3"",""x-amzn-trace-id"":""Root=1-6844ef4c-4ea67703295ed7ff143acac5"",""x-forwarded-for"":""74.129.178.19"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https""}}
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172877,"{""level"":""info"",""timestamp"":""2025-06-08T02:02:52.877Z"",""caller"":""cost/middleware.go:172"",""msg"":""request cost tracked"",""request_id"":""L0pUEhJFoAMEcQQ="",""operation"":""GET /lab/instance/activity"",""total_microcents"":156,""total_cents"":0.000156,""dynamodb_reads"":12,""dynamodb_writes"":0,""lambda_duration_ms"":32,""data_transfer_bytes"":1071}
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172878,"END RequestId: 085f9adf-da50-4ce2-92af-00d71e4f8f1e
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172878,"REPORT RequestId: 085f9adf-da50-4ce2-92af-00d71e4f8f1e	Duration: 42.20 ms	Billed Duration: 43 ms	Memory Size: 3008 MB	Max Memory Used: 47 MB	
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
1749348172944,"START RequestId: d437d5da-baf5-4b2b-84ce-8462dba77baf Version: $LATEST
",2025/06/08/[$LATEST]879838c036184b4dbb5b8fe83ea79d55
